tr_id,tau,xi,y_sys,y_phase
0,5.330000,-0.236175,1.394353,1.394374
0,5.340000,-0.222220,1.396645,1.396666
0,5.350000,-0.208243,1.398798,1.398818
0,5.360000,-0.194244,1.400810,1.400830
0,5.370000,-0.180227,1.402683,1.402703
0,5.380000,-0.166191,1.404415,1.404435
0,5.390000,-0.152139,1.406006,1.406026
0,5.400000,-0.138072,1.407457,1.407478
0,5.410000,-0.123990,1.408768,1.408788
0,5.420000,-0.109897,1.409937,1.409957
0,5.430000,-0.095792,1.410966,1.410986
0,5.440000,-0.081678,1.411853,1.411873
0,5.450000,-0.067556,1.412599,1.412619
0,5.460000,-0.053426,1.413204,1.413224
0,5.470000,-0.039292,1.413668,1.413688
0,5.480000,-0.025153,1.413990,1.414010
0,5.490000,-0.011013,1.414171,1.414191
0,5.500000,0.003129,1.414210,1.414230
0,5.510000,0.017271,1.414108,1.414128
0,5.520000,0.031411,1.413865,1.413885
0,5.530000,0.045548,1.413480,1.413500
0,5.540000,0.059680,1.412954,1.412974
0,5.550000,0.073807,1.412286,1.412306
0,5.560000,0.087926,1.411478,1.411498
0,5.570000,0.102036,1.410528,1.410548
0,5.580000,0.116136,1.409437,1.409457
0,5.590000,0.130224,1.408205,1.408225
0,5.600000,0.144299,1.406833,1.406853
0,5.610000,0.158360,1.405319,1.405339
0,5.620000,0.172405,1.403665,1.403686
0,5.630000,0.186433,1.401871,1.401891
0,5.640000,0.200442,1.399937,1.399957
0,5.650000,0.214431,1.397862,1.397883
0,5.660000,0.228399,1.395648,1.395669
0,5.670000,0.242344,1.393294,1.393315
0,5.680000,0.256264,1.390801,1.390822
0,5.690000,0.270159,1.388169,1.388190
0,5.700000,0.284027,1.385398,1.385419
0,5.710000,0.297867,1.382489,1.382509
0,5.720000,0.311677,1.379441,1.379462
0,5.730000,0.325455,1.376255,1.376276
0,5.740000,0.339201,1.372932,1.372953
0,5.750000,0.352913,1.369471,1.369492
0,5.760000,0.366590,1.365874,1.365895
0,5.770000,0.380230,1.362140,1.362161
0,5.780000,0.393833,1.358269,1.358290
0,5.790000,0.407395,1.354263,1.354284
0,5.800000,0.420917,1.350122,1.350143
0,5.810000,0.434397,1.345845,1.345866
0,5.820000,0.447834,1.341434,1.341455
0,5.830000,0.461226,1.336889,1.336910
0,5.840000,0.474571,1.332210,1.332231
0,5.850000,0.487869,1.327397,1.327419
0,5.860000,0.501119,1.322452,1.322474
0,5.870000,0.514318,1.317375,1.317397
0,5.880000,0.527466,1.312166,1.312188
0,5.890000,0.540561,1.306826,1.306848
0,5.900000,0.553602,1.301355,1.301377
0,5.910000,0.566587,1.295754,1.295776
0,5.920000,0.579516,1.290024,1.290046
0,5.930000,0.592387,1.284164,1.284186
0,5.940000,0.605199,1.278176,1.278198
0,5.950000,0.617951,1.272060,1.272082
0,5.960000,0.630640,1.265817,1.265840
0,5.970000,0.643266,1.259448,1.259470
0,5.980000,0.655829,1.252952,1.252975
0,5.990000,0.668325,1.246331,1.246354
0,6.000000,0.680755,1.239586,1.239609
0,6.010000,0.693116,1.232716,1.232739
0,6.020000,0.705409,1.225724,1.225747
